,detectorId,dotId,onStreetName,onDirection,atCrossStreet,onLongitude,onLatitude
0,MI064E009.1D,MI064E009.1D,I64,East,Rte K (MI064E009.1D),-90.70429993,38.71409988
1,MI064E009.1E,MI064E009.1E,I64,East,Rte K (MI064E009.1E),-90.70429993,38.71409988
2,MI064E009.8D,MI064E009.8D,I64,East,Rte 94 (MI064E009.8D),-90.69159699,38.71179962
3,MI064E009.8E,MI064E009.8E,I64,East,Rte 94 (MI064E009.8E),-90.69159699,38.71179962
4,MI064E010.0D,MI064E010.0D,I64,East,Rte 94 (MI064E010.0D),-90.69000244,38.71179962
5,MI064E011.2D,MI064E011.2D,I64,East,Research Park (MI064E011.2D),-90.67199707,38.7018013
6,MI064E011.2E,MI064E011.2E,I64,East,Research Park (MI064E011.2E),-90.67199707,38.7018013
7,MI064E013.6D,MI064E013.6D,I64,East,Spirit of St Louis Blvd (MI064E013.6D),-90.645401,38.67430115
8,MI064E015.2D,MI064E015.2D,I64,East,Long Rd (MI064E015.2D),-90.61620331,38.67160034
9,MI064E016.3D,MI064E016.3D,I64,East,Boones Crossing (MI064E016.3D),-90.59899902,38.67020035
10,MI064E016.3E,MI064E016.3E,I64,East,Boones Crossing (MI064E016.3E),-90.59899902,38.67020035
11,MI064E017.0D,MI064E017.0D,I64,East,Between Boones Crossing and Chesterfield Pkwy West (MI064E017.0D),-90.58869934,38.66949844
12,MI064E018.1D,MI064E018.1D,I64,East,Chesterfield Pkwy West (MI064E018.1D),-90.56719971,38.65879822
13,MI064E018.9D,MI064E018.9D,I64,East,Rte 340-Olive Blvd (MI064E018.9D),-90.55840302,38.6529007
14,MI064E021.9D,MI064E021.9D,I64,East,E/O Timberlake Manor Pkwy (MI064E020.9D),-90.52749634,38.64609909
15,MI064E021.9E,MI064E021.9E,I64,East,E/O Timberlake Manor Pkwy (MI064E020.9E),-90.52749634,38.64609909
16,MI064E021.9D,MI064E021.9D,I64,East,Woods Mill Rd (MI064E021.9D),-90.51039887,38.64210129
17,MI064E021.9E,MI064E021.9E,I64,East,Woods Mill Rd (MI064E021.9E),-90.51039887,38.64210129
18,MI064E023.2D,MI064E023.2D,I64,East,Maryville Centre Drive (MI064E023.2D),-90.49849701,38.63949966
19,MI064E023.2E,MI064E023.2E,I64,East,Maryville Centre Drive (MI064E023.2E),-90.49849701,38.63949966
20,MI064E024.2D,MI064E024.2D,I64,East,Mason Rd (MI064E024.2D),-90.48069763,38.6385994
21,MI064W009.0E,MI064W009.0E,I64,West,WO Rte K (MI064W009.0E),-90.70639801,38.71469879
22,MI064W009.2D,MI064W009.2D,I64,West,Rte K (MI064W009.2D),-90.70379639,38.71419907
23,MI064W009.2E,MI064W009.2E,I64,West,Rte K (MI064W009.2E),-90.70379639,38.71419907
24,MI064W010.0D,MI064W010.0D,I64,West,Rte 94 (MI064W010.0D),-90.69020081,38.71170044
25,MI064W011.1D,MI064W011.1D,I64,West,Research Park (MI064W011.1D),-90.67310333,38.70299912
26,MI064W012.8E,MI064W012.8E,I64,West,Chesterfield Airport Rd (MI064W012.8E),-90.65950012,38.6792984
27,MI064W013.6D,MI064W013.6D,I64,West,Spirit of St Louis Blvd (MI064W013.6D),-90.64530182,38.67459869
28,MI064W015.1D,MI064W015.1D,I64,West,Long Rd (MI064W015.1D),-90.61669922,38.67210007
29,MI064W015.9D,MI064W015.9D,I64,West,WO Boones Crossing (MI064W015.9D),-90.60630035,38.6711998
30,MI064W015.9E,MI064W015.9E,I64,West,WO Boones Crossing (MI064W015.9E),-90.60630035,38.6711998
31,MI064W017.0D,MI064W017.0D,I64,West,Between Boones Crossing and Chesterfield Pkwy West (MI064W017.0D),-90.58830261,38.66979981
32,MI064W017.9D,MI064W017.9D,I64,West,WO Chesterfield Pkwy West (MI064W017.9D),-90.56939697,38.6617012
33,MI064W017.9E,MI064W017.9E,I64,West,WO Chesterfield Pkwy West (MI064W017.9E),-90.56939697,38.6617012
34,MI064W018.4D,MI064W018.4D,I64,West,Chesterfield Pkwy West (MI064W018.4D),-90.56310272,38.6556015
35,MI064W018.4E,MI064W018.4E,I64,West,Chesterfield Pkwy West (MI064W018.4E),-90.56310272,38.6556015
36,MI064W018.9D,MI064W018.9D,I64,West,Rte 340-Olive Blvd (MI064W018.9D),-90.55809784,38.65309906
37,MI064W020.2D,MI064W020.2D,I64,West,WO Timberlake Manor Pkwy (MI064W020.2D),-90.53199768,38.64720154
38,MI064W020.2E,MI064W020.2E,I64,West,WO Timberlake Manor Pkwy (MI064W020.2E),-90.53199768,38.64720154
39,MI064W021.9D,MI064W021.9D,I64,West,Woods Mill Rd (MI064W021.9D),-90.51039887,38.64239883
40,MI064W021.9E,MI064W021.9E,I64,West,Woods Mill Rd (MI064W021.9E),-90.51039887,38.64239883
41,MI064W023.2D,MI064W023.2D,I64,West,Maryville Centre Drive (MI064W023.2D),-90.49819946,38.63980103
42,MI064W024.2D,MI064W024.2D,I64,West,Mason Rd (MI064W024.2D),-90.48079681,38.63890076
43,MI070E204.0D,MI070E204.0D,I70,East,Rte T-Rte W (MI070E204.0D),-90.94830322,38.81499863
44,MI070E204.0E,MI070E204.0E,I70,East,Rte T-Rte W (MI070E204.0E),-90.94830322,38.81499863
45,MI070E204.9D,MI070E204.9D,I70,East,Foristell Weigh Station (MI070E204.9D),-90.93270111,38.81090164
46,MI070E204.9E,MI070E204.9E,I70,East,Foristell Weigh Station (MI070E204.9E),-90.93270111,38.81090164
47,MI070E206.0D,MI070E206.0D,I70,East,Between Foristell and Wentzville Pkwy (MI070E206.0D),-90.91339874,38.80659866
48,MI070E208.5D,MI070E208.5D,I70,East,Wentzville Pkwy (MI070E208.5D),-90.87470245,38.80989838
49,MI070E208.5E,MI070E208.5E,I70,East,Wentzville Pkwy (MI070E208.5E),-90.87470245,38.80989838
50,MI070E209.6D,MI070E209.6D,I70,East,Rte Z-Church St (MI070E209.6D),-90.85379791,38.80559921
51,MI070E209.6E,MI070E209.6E,I70,East,Rte Z-Church St (MI070E209.6E),-90.85379791,38.80559921
52,MI070E210.0D,MI070E210.0D,I70,East,WO Us 40-61 Interchange (MI070E210.0D),-90.84549713,38.80590057
53,MI070E211.0D,MI070E211.0D,I70,East,US40-61 Interchange (MI070E211.0D),-90.83170319,38.80590057
54,MI070E211.0E,MI070E211.0E,I70,East,US40-61 Interchange (MI070E211.0E),-90.83170319,38.80590057
55,MI070E212.2D,MI070E212.2D,I70,East,Rte A (MI070E212.2D),-90.80729675,38.80540085
56,MI070E212.2E,MI070E212.2E,I70,East,Rte A (MI070E212.2E),-90.80729675,38.80540085
57,MI070E212.9D,MI070E212.9D,I70,East,Between Rte A and Lake St Louis Blvd (MI070E212.9D),-90.79810333,38.80500031
58,MI070E214.2D,MI070E214.2D,I70,East,Lake St Louis Blvd (MI070E214.2D),-90.76959992,38.80379868
