,time,volume,occupancy,speed
0,235945000,0,0,0
1,000015000,1,1,52
2,000045000,0,0,0
3,000116000,1,1,52
4,000146000,0,0,0
5,000217000,0,0,0
6,000247000,0,0,0
7,000317000,2,1,52
8,000347000,0,0,0
9,000417000,1,1,52
10,000447000,1,1,52
11,000517000,0,0,0
12,000548000,0,0,0
13,000619000,1,1,52
14,000649000,0,0,0
15,000720000,0,0,0
16,000750000,0,0,0
17,000820000,0,0,0
18,000851000,0,0,0
19,000921000,0,0,0
20,000951000,1,1,52
21,001021000,0,0,0
22,001052000,0,0,0
23,001122000,1,1,52
24,001153000,1,1,52
25,001223000,0,0,0
26,001253000,0,0,0
27,001323000,1,1,52
28,001354000,1,1,52
29,001425000,2,1,52
30,001456000,0,0,0
31,001526000,0,0,0
32,001556000,0,0,0
33,001627000,0,0,0
34,001627000,0,0,0
35,001727000,0,0,0
36,001757000,0,0,0
37,001929000,0,0,0
38,001959000,2,1,52
39,002029000,0,0,0
40,002100000,0,0,0
41,002131000,0,0,0
42,002201000,1,1,51
43,002232000,0,0,0
44,002303000,0,0,0
45,002333000,0,0,0
46,002404000,1,1,51
47,002434000,0,0,0
48,002505000,0,0,0
49,002535000,0,0,0
50,002605000,0,0,0
51,002636000,2,1,51
52,002706000,0,0,0
53,002737000,0,0,0
54,002807000,0,0,0
55,002838000,0,0,0
56,002908000,1,1,51
57,002939000,0,0,0
58,003009000,0,0,0
59,003040000,0,0,0
60,003110000,0,0,0
61,003141000,0,0,0
62,003211000,1,1,51
63,003242000,0,0,0
64,003312000,0,0,0
65,003342000,0,0,0
66,003413000,1,1,51
67,003444000,0,0,0
68,003514000,0,0,0
69,003545000,0,0,0
70,003616000,1,1,52
71,003646000,0,0,0
72,003717000,0,0,0
73,003747000,0,0,0
74,003817000,0,0,0
75,003848000,0,0,0
76,003918000,1,2,52
77,003948000,1,1,53
78,004018000,0,0,0
79,004048000,1,1,53
80,004118000,0,0,0
81,004149000,0,0,0
82,004220000,0,0,0
83,004250000,0,0,0
84,004320000,0,0,0
85,004351000,0,0,0
86,004421000,1,1,53
87,004451000,0,0,0
88,004521000,0,0,0
89,004552000,1,1,53
90,004622000,0,0,0
91,004652000,0,0,0
92,004723000,0,0,0
93,004753000,1,1,53
94,004824000,0,0,0
95,004855000,1,1,53
96,004925000,0,0,0
97,004956000,0,0,0
98,005026000,0,0,0
99,005056000,0,0,0
100,005056000,0,0,0
101,005156000,0,0,0
102,005226000,0,0,0
103,005257000,0,0,0
104,005327000,0,0,0
105,005358000,0,0,0
106,005429000,0,0,0
107,005459000,0,0,0
108,005530000,1,1,53
109,005600000,0,0,0
110,005631000,0,0,0
111,005701000,0,0,0
112,005731000,0,0,0
113,005802000,1,1,53
114,005832000,1,1,53
115,005902000,0,0,0
116,005933000,0,0,0
117,010003000,1,1,53
118,010034000,0,0,0
119,010104000,0,0,0
120,010135000,0,0,0
121,010206000,0,0,0
122,010236000,0,0,0
123,010306000,1,2,53
124,010337000,0,0,0
125,010407000,0,0,0
126,010438000,0,0,0
127,010509000,0,0,0
128,010539000,1,1,54
129,010610000,1,1,55
130,010640000,0,0,0
131,010711000,0,0,0
132,010741000,1,1,55
133,010811000,0,0,0
134,010841000,0,0,0
135,010912000,0,0,0
136,010942000,0,0,0
137,011013000,0,0,0
138,011043000,0,0,0
139,011114000,0,0,0
140,011144000,0,0,0
141,011214000,0,0,0
142,011244000,0,0,0
143,011315000,0,0,0
144,011345000,0,0,0
145,011415000,0,0,0
146,011445000,0,0,0
147,011516000,0,0,0
148,011547000,0,0,0
149,011617000,0,0,0
